timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465419961.43123,2.81333923339844E-05,True,switched to keyboard,H,2,5
1465419961.43131,5.45978546142578E-05,True,1,K,2,5
1465419961.4802,0.04890275,True,KeyReleased: 49,K,2,5
1465419961.61688,0.1366846561,True,1,K,2,5
1465419961.69146,0.0745708942,True,KeyReleased: 49,K,2,5
1465419961.84956,0.1580953598,True,1,K,2,5
1465419961.92476,0.0751998425,True,KeyReleased: 49,K,2,5
1465419962.09124,0.1664779186,True,1,K,2,5
1465419962.16232,0.0710747242,True,KeyReleased: 49,K,2,5
1465419962.32633,0.16401577,True,1,K,2,5
1465419962.3985,0.0721688271,True,KeyReleased: 49,K,2,5
1465419962.56776,0.1692557335,True,1,K,2,5
1465419962.63585,0.0681996346,True,KeyReleased: 49,K,2,5
1465419962.80416,0.1681938171,True,1,K,2,5
1465419962.87663,0.0724668503,True,KeyReleased: 49,K,2,5
1465419963.05016,0.1735267639,True,1,K,2,5
1465419963.12784,0.0776693821,True,KeyReleased: 49,K,2,5
1465419963.2903,0.1624712944,True,1,K,2,5
1465419963.36479,0.0744805336,True,KeyReleased: 49,K,2,5
1465419963.54021,0.1754236221,True,1,K,2,5
1465419963.59822,0.0579991341,True,KeyReleased: 49,K,2,5
1465419963.78795,0.1897287369,True,1,K,2,5
1465419963.86228,0.0743205547,True,KeyReleased: 49,K,2,5
1465419964.02481,0.1625397205,True,1,K,2,5
1465419964.10105,0.0762329102,True,KeyReleased: 49,K,2,5
1465419964.26041,0.1593639851,True,1,K,2,5
1465419964.3344,0.0739843845,True,KeyReleased: 49,K,2,5
1465419964.49738,0.1629800797,True,1,K,2,5
1465419964.56863,0.0712425709,True,KeyReleased: 49,K,2,5
1465419964.72301,0.1543750763,True,1,K,2,5
1465419964.80583,0.0828173161,True,KeyReleased: 49,K,2,5
1465419964.96837,0.1625356674,True,1,K,2,5
1465419965.05478,0.0864069462,True,KeyReleased: 49,K,2,5
1465419965.21289,0.1581163406,True,1,K,2,5
1465419965.29872,0.0858252048,True,KeyReleased: 49,K,2,5
1465419965.46313,0.164400816,True,1,K,2,5
1465419965.54089,0.0777623653,True,KeyReleased: 49,K,2,5
1465419965.69426,0.1533660889,True,1,K,2,5
1465419965.77165,0.077450037,True,KeyReleased: 49,K,2,5
1465419965.93266,0.1609463692,True,1,K,2,5
1465419965.98942,0.0567543507,True,KeyReleased: 49,K,2,5
1465419966.53299,0.5435714722,False,switched to mouse,H,2,5
1465419991.07016,0.000013113,False,Mouse Moved,P,1,1
1465419991.4837,0.4135348797,False,Mouse Moved,P,1,1
1465419991.88363,0.3999345303,False,Mouse Moved,P,1,1
1465419992.49746,0.6138317585,False,Mouse Moved,P,1,1
1465419993.11362,0.6161572933,False,Mouse Moved,P,1,1
1465419993.56959,0.4559619427,False,Mouse Moved,P,1,1
1465419994.0562,0.4866123199,False,Mouse Moved,P,1,1
1465419994.67156,0.6153609753,False,Mouse Moved,P,1,1
1465419995.31962,0.6480610371,False,Mouse Moved,P,1,1
1465419995.73567,0.4160616398,False,Mouse Moved,P,1,1
1465419996.30964,0.5739502907,False,Mouse Moved,P,1,1
1465419996.91751,0.6078708172,False,Mouse Moved,P,1,1
1465419997.5956,0.6780903339,False,Mouse Moved,P,1,1
1465419998.01145,0.4158456326,False,Mouse Moved,P,1,1
1465419998.43566,0.4242060184,False,Mouse Moved,P,1,1
1465419998.94573,0.5100729465,False,Mouse Moved,P,1,1
1465419999.56996,0.6242280006,False,Mouse Moved,P,1,1
1465419999.96961,0.3996543884,False,Mouse Moved,P,1,1
1465420000.3464,0.3767793179,False,Mouse Moved,P,1,1
1465420000.83185,0.4854545593,False,Mouse Moved,P,1,1
1465420001.39959,0.5677332878,False,Mouse Moved,P,1,1
1465420001.77584,0.3762531281,False,Mouse Moved,P,1,1
1465420002.27971,0.5038731098,False,Mouse Moved,P,1,1
1465420003.10967,0.8299577236,False,Mouse Moved,P,1,1
1465420017.8956,1.12056732177734E-05,False,Mouse Moved,P,1,2
1465420018.2615,0.3658986092,False,Mouse Moved,P,1,2
1465420018.70147,0.4399707317,False,Mouse Moved,P,1,2
1465420019.2214,0.5199244022,False,Mouse Moved,P,1,2
1465420019.74944,0.5280416012,False,Mouse Moved,P,1,2
1465420020.21168,0.4622354507,False,Mouse Moved,P,1,2
1465420020.62758,0.4158987999,False,Mouse Moved,P,1,2
1465420021.30764,0.6800677776,False,Mouse Moved,P,1,2
1465420021.91611,0.6084651947,False,Mouse Moved,P,1,2
1465420022.28952,0.3734095097,False,Mouse Moved,P,1,2
1465420022.64163,0.3521058559,False,Mouse Moved,P,1,2
1465420023.2076,0.5659713745,False,Mouse Moved,P,1,2
1465420023.7595,0.5518946648,False,Mouse Moved,P,1,2
1465420024.18356,0.4240636826,False,Mouse Moved,P,1,2
1465420024.68561,0.5020434856,False,Mouse Moved,P,1,2
1465420025.33155,0.645942688,False,Mouse Moved,P,1,2
1465420025.89147,0.5599195957,False,Mouse Moved,P,1,2
1465420026.2995,0.4080283642,False,Mouse Moved,P,1,2
1465420026.75553,0.4560279846,False,Mouse Moved,P,1,2
1465420027.47359,0.7180550098,False,Mouse Moved,P,1,2
1465420050.23964,1.23977661132813E-05,False,Mouse Moved,P,1,3
1465420050.56766,0.3280169964,False,Mouse Moved,P,1,3
1465420050.91736,0.3497042656,False,Mouse Moved,P,1,3
1465420051.53362,0.6162576675,False,Mouse Moved,P,1,3
1465420052.03775,0.5041313171,False,Mouse Moved,P,1,3
1465420052.36556,0.3278102875,False,Mouse Moved,P,1,3
1465420052.69316,0.3275973797,False,Mouse Moved,P,1,3
1465420053.32342,0.6302535534,False,Mouse Moved,P,1,3
1465420053.8193,0.495875597,False,Mouse Moved,P,1,3
1465420054.18733,0.3680334091,False,Mouse Moved,P,1,3
1465420054.45246,0.2651283741,False,Mouse Moved,P,1,3
1465420054.95652,0.504062891,False,Mouse Moved,P,1,3
1465420055.43347,0.4769458771,False,Mouse Moved,P,1,3
